Index	Filename	Homozygous (aa) min	Homozygous (aa) max	Heterozygous (ab) min	Heterozygous (ab) max	Genome Haploid Length min	Genome Haploid Length max	Genome Repeat Length min	Genome Repeat Length max	Genome Unique Length min	Genome Unique Length max	Model Fit min	Model Fit max	Read Error Rate min	Read Error Rate max
0074	sample_0074_summary.txt	94.5738	94.772	5.22796	5.42617	679455277	693591703	351460469	358772790	327994807	334818913	56.1154	95.7326	0.346839	0.346839
0075	sample_0075_summary.txt	94.5774	94.7702	5.2298	5.42263	680193554	693629133	351567680	358512049	328625874	335117084	56.4588	95.9734	0.344635	0.344635
0076	sample_0076_summary.txt	94.5807	94.7687	5.23132	5.41928	680807366	693595672	351620753	358225608	329186613	335370065	56.7897	96.2011	0.342764	0.342764
0077	sample_0077_summary.txt	94.5841	94.7676	5.23243	5.41589	681383295	693562865	351652930	357938645	329730365	335624220	57.1038	96.4077	0.341015	0.341015
0078	sample_0078_summary.txt	94.5871	94.7664	5.23355	5.41292	681814290	693420567	351490879	357474181	330323411	335946386	56.1582	95.7566	0.3409	0.3409
0079	sample_0079_summary.txt	94.5897	94.7653	5.23472	5.41034	682361880	693430248	351548484	357250837	330813396	336179411	56.4929	95.9869	0.339214	0.339214
0080	sample_0080_summary.txt	94.5923	94.7643	5.23567	5.40774	682799981	693352593	351539211	356972217	331260770	336380376	56.8107	96.1981	0.337799	0.337799
0081	sample_0081_summary.txt	94.5949	94.7637	5.23631	5.40506	683186717	693250714	351510804	356688896	331675913	336561818	57.1168	96.3984	0.336547	0.336547
0082	sample_0082_summary.txt	94.5977	94.7634	5.23664	5.40228	683519910	693125925	351432080	356371017	332087830	336754908	57.4151	96.5911	0.33542	0.33542
0083	sample_0083_summary.txt	94.5997	94.7624	5.23756	5.40034	683708182	692876909	351219082	355929034	332489099	336947876	56.495	95.951	0.335389	0.335389
0084	sample_0084_summary.txt	94.6019	94.762	5.23802	5.39808	684003562	692760828	351115227	355610539	332888335	337150289	56.8115	96.1647	0.334306	0.334306
0085	sample_0085_summary.txt	94.6033	94.7609	5.23914	5.3967	684340338	692706872	351083486	355375724	333256852	337331148	57.1183	96.3683	0.33306	0.33306
0086	sample_0086_summary.txt	94.6052	94.7603	5.23966	5.39484	684627414	692626557	351010345	355111527	333617070	337515030	57.4153	96.5636	0.331981	0.331981
0087	sample_0087_summary.txt	94.6067	94.7596	5.24037	5.39332	684713957	692363083	350776039	354694654	333937918	337668430	56.498	95.912	0.33187	0.33187
0088	sample_0088_summary.txt	94.6081	94.7589	5.24107	5.39191	684883029	692200370	350636584	354382811	334246445	337817559	56.8095	96.118	0.331035	0.331035
0089	sample_0089_summary.txt	94.6161	94.7689	5.2311	5.38387	683089786	690904906	349216019	353211343	333873767	337693563	57.0716	96.243	0.334788	0.334788
0090	sample_0090_summary.txt	94.6176	94.7681	5.23192	5.38245	683264632	690759788	349071214	352900394	334193418	337859394	57.3656	96.4334	0.333891	0.333891
0091	sample_0091_summary.txt	94.6183	94.7668	5.23323	5.38172	683339053	690531908	348836830	352508701	334502223	338023207	56.4594	95.7899	0.333695	0.333695
0092	sample_0092_summary.txt	94.6195	94.766	5.23404	5.38052	683348285	690247320	348599590	352119026	334748695	338128294	56.7675	95.9936	0.333183	0.333183
0093	sample_0093_summary.txt	94.6204	94.765	5.23496	5.37959	683501485	690128672	348446401	351824916	335055084	338303756	57.0651	96.186	0.332304	0.332304
0094	sample_0094_summary.txt	94.6212	94.7641	5.23587	5.37877	683667963	690036854	348329141	351574093	335338823	338462761	57.3557	96.3738	0.331421	0.331421
0095	sample_0095_summary.txt	94.6213	94.7628	5.23719	5.37867	683688774	689833851	348121992	351250955	335566781	338582896	57.6359	96.5499	0.330782	0.330782
0096	sample_0096_summary.txt	94.6214	94.7616	5.23838	5.37856	683607700	689541350	347837156	350856350	335770544	338685001	56.7655	95.9351	0.330706	0.330706
0097	sample_0097_summary.txt	94.6217	94.7607	5.23933	5.37827	683537545	689268589	347598877	350513281	335938668	338755308	57.0582	96.1247	0.330369	0.330369
0098	sample_0098_summary.txt	94.6215	94.7593	5.24066	5.37847	683540088	689081621	347409880	350226369	336130209	338855252	57.3451	96.3108	0.329796	0.329796
0099	sample_0099_summary.txt	94.6214	94.7581	5.24188	5.37859	683458883	688815570	347156218	349877095	336302664	338938475	57.6257	96.4918	0.329399	0.329399
0100	sample_0100_summary.txt	94.6212	94.7569	5.24306	5.37875	683421508	688605197	346928684	349560105	336492825	339045092	56.7627	95.8767	0.329094	0.329094
