Index	Filename	Homozygous (aa) min	Homozygous (aa) max	Heterozygous (ab) min	Heterozygous (ab) max	Genome Haploid Length min	Genome Haploid Length max	Genome Repeat Length min	Genome Repeat Length max	Genome Unique Length min	Genome Unique Length max	Model Fit min	Model Fit max	Read Error Rate min	Read Error Rate max
0049	sample_0049_summary.txt	94.6244	94.947	5.05301	5.37561	1127192286	1182254654	662802284	695179602	464390003	487075052	50.8733	93.4926	0.410506	0.410506
0050	sample_0050_summary.txt	94.6438	94.9528	5.04724	5.35622	1136091308	1186207028	666608506	696014211	469482801	490192817	50.3171	93.3131	0.406611	0.406611
0051	sample_0051_summary.txt	94.6578	94.9553	5.04472	5.34222	1146070379	1192178782	672262552	699308842	473807828	492869940	50.8286	93.8252	0.393501	0.393501
0052	sample_0052_summary.txt	94.6687	94.9562	5.0438	5.3313	1154559659	1197279096	677019516	702069666	477540143	495209431	51.3059	94.2858	0.382358	0.382358
0053	sample_0053_summary.txt	94.6933	94.9845	5.01548	5.30669	1147115255	1192126431	671770442	698129761	475344814	493996670	51.4767	94.1306	0.38962	0.38962
0054	sample_0054_summary.txt	94.6994	94.9813	5.01868	5.30063	1152715830	1194453789	674001918	698406428	478713912	496047362	50.8839	93.8286	0.387494	0.387494
0055	sample_0055_summary.txt	94.7043	94.9778	5.02216	5.29566	1159532098	1198418976	677787281	700518028	481744817	497900947	51.354	94.274	0.377887	0.377887
0056	sample_0056_summary.txt	94.7081	94.9741	5.02595	5.29193	1165696321	1202056152	681219463	702467728	484476858	499588424	51.7988	94.6873	0.369272	0.369272
0057	sample_0057_summary.txt	94.7101	94.9695	5.03048	5.28986	1169792974	1203850229	682974323	702858380	486818651	500991849	51.1311	94.2061	0.366729	0.366729
0058	sample_0058_summary.txt	94.7124	94.9656	5.03435	5.28759	1174557330	1206544327	685629324	704301229	488928006	502243098	51.5724	94.6024	0.359902	0.359902
0059	sample_0059_summary.txt	94.7154	94.9628	5.03722	5.28462	1178966127	1209039296	688025686	705575904	490940441	503463392	51.9909	94.9708	0.353692	0.353692
0060	sample_0060_summary.txt	94.7179	94.9601	5.03995	5.28207	1182860476	1211190906	690113412	706642166	492747064	504548740	52.392	95.3165	0.348195	0.348195
0061	sample_0061_summary.txt	94.7184	94.956	5.04405	5.28164	1185644623	1212364514	691295222	706874370	494349401	505490144	51.7016	94.7479	0.345974	0.345974
0062	sample_0062_summary.txt	94.7203	94.9533	5.04674	5.27965	1188329832	1213499545	692568463	707237580	495761369	506261965	52.1077	95.0965	0.342041	0.342041
0063	sample_0063_summary.txt	94.7218	94.9506	5.04939	5.27818	1191146080	1214927858	693954944	707810073	497191137	507117786	52.5001	95.4297	0.337898	0.337898
0064	sample_0064_summary.txt	94.7221	94.9472	5.05279	5.27786	1193073957	1215537599	694676632	707756263	498397324	507781335	51.797	94.8167	0.336065	0.336065
0065	sample_0065_summary.txt	94.7228	94.9443	5.05565	5.27717	1195263019	1216508018	695684150	708049470	499578869	508458548	52.1932	95.1493	0.332673	0.332673
0066	sample_0066_summary.txt	94.7232	94.9415	5.05851	5.27679	1197302781	1217427442	696625388	708334498	500677392	509092944	52.5726	95.4681	0.32953	0.32953
0067	sample_0067_summary.txt	94.7374	94.9551	5.04486	5.26265	1191367769	1212669577	691625358	703991708	499742411	508677869	51.8034	94.7052	0.336864	0.336864
0068	sample_0068_summary.txt	94.7369	94.9514	5.04855	5.2631	1193336585	1213549362	692542693	704273005	500793892	509276357	52.1874	95.0277	0.333654	0.333654
0069	sample_0069_summary.txt	94.7369	94.9483	5.05169	5.26312	1195125364	1214312053	693318527	704449148	501806836	509862905	52.5602	95.3369	0.330705	0.330705
0070	sample_0070_summary.txt	94.7374	94.9458	5.05419	5.26261	1196584413	1214805273	693869291	704435110	502715122	510370162	52.9192	95.6296	0.328188	0.328188
0071	sample_0071_summary.txt	94.7373	94.943	5.057	5.2627	1197688108	1215011995	694104718	704144554	503583389	510867441	52.2438	95.0265	0.326805	0.326805
